name,url,price,rating,review_count,image
"HP Chromebook X360 Intel Celeron N4020 14 inch(35.6 cm) Micro-Edge, Touchscreen, 2-in-1 Laptop (4GB RAM/64GB eMMC/Chrome OS/Intel UHD Graphics,1.49Kg), 14a-ca0506TU ",https://www.amazon.in//HP-Chromebook-Micro-Edge-Touchscreen-14a-ca0506TU/dp/B09QQPGDBG/ref=sr_1_36?keywords=HP+Laptop&qid=1676017399&sr=8-36,"₹27,490",3.9 out of 5 stars,39,https://m.media-amazon.com/images/I/91qc0iDjsVL._AC_UY218_.jpg
"Acer Aspire 3 (Intel Core i3 1215U Processor/ 8GB/ 512 GB SSD/ Windows 11 Home/ MS Office ) A315-59 with 39.6 cm (15.6"") Full HD Display /1.9kg ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo4MzQxNTU0Njk4NzA5MTAwOjE2NzYwMTczOTk6c3BfYnRmOjIwMDc0MTQzODQwOTk4OjowOjo&url=%2FAcer-Processor-Windows-A315-59-Display%2Fdp%2FB0B6F5W7WL%2Fref%3Dsr_1_37_sspa%3Fkeywords%3DHP%2BLaptop%26qid%3D1676017399%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"₹42,990",3.6 out of 5 stars,3,https://m.media-amazon.com/images/I/81KDFaxzetL._AC_UY218_.jpg
"HP 15s-Ryzen 3 3250U 8GB SDRAM/256GB SSD 15.6inch(39.6cm) HD, Micro-Edge Laptop/AMD Radeon Graphics/Dual Speakers/Win 11 Home/MS Office/Fast Charge/Jet Black/1.69Kg, 15s-ey1508AU ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo4MzQxNTU0Njk4NzA5MTAwOjE2NzYwMTczOTk6c3BfYnRmOjIwMDk4Nzg5MzY0Njk4OjowOjo&url=%2FHP-15s-Ryzen-15-6inch-Micro-Edge-15s-ey1508AU%2Fdp%2FB0BJ2LZXD9%2Fref%3Dsr_1_38_sspa%3Fkeywords%3DHP%2BLaptop%26qid%3D1676017399%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"₹29,990",3.5 out of 5 stars,76,https://m.media-amazon.com/images/I/81bu95bhbOL._AC_UY218_.jpg
"Fujitsu UH-X 11th Gen Intel Core i7 13.3” FHD IPS 400Nits Thin & Light Laptop(16GB/512GB SSD/Windows 11/Office 2021/Iris Xe Graphics/Backlit Kb/Fingerprint Reader/2Yr Warranty/Black/878gms),4ZR1F38024 ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozNjY3NzYyMjk2NjcxMjEzOjE2NzYwMTc0MDU6c3BfYXRmX25leHQ6MjAwMzQ0NTU3ODcwOTg6OjA6Og&url=%2FFujitsu-Graphics-Fingerprint-Warranty-4ZR1F38024%2Fdp%2FB09HT86ZZQ%2Fref%3Dsr_1_33_sspa%3Fkeywords%3DHP%2BLaptop%26qid%3D1676017405%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"₹79,990",4.3 out of 5 stars,63,https://m.media-amazon.com/images/I/91MVVK14sEL._AC_UY218_.jpg
"HP 14s, AMD Ryzen 5-5500U 14 inches(35cm) FHD, IPS, Micro-Edge Display Laptop (8GB RAM/512GB SSD /Radeon Graphics/Windows 11/Alexa/Backlit Keyboard/MS Office/1.46kg, 14s-fq1092au) ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozNjY3NzYyMjk2NjcxMjEzOjE2NzYwMTc0MDU6c3BfYXRmX25leHQ6MjAwODM0MTQ5MDcwOTg6OjA6Og&url=%2FHP-Micro-Edge-Graphics-Keyboard-14s-fq1092au%2Fdp%2FB09R1L73TM%2Fref%3Dsr_1_34_sspa%3Fkeywords%3DHP%2BLaptop%26qid%3D1676017405%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"₹46,027",4.2 out of 5 stars,794,https://m.media-amazon.com/images/I/81f+WzxMnYL._AC_UY218_.jpg
"HP Pavilion 14 12th Gen Intel Core i7 16GB SDRAM/1TB SSD 14 inch(35.6cm) FHD,IPS,Micro-Edge Display/Intel Iris Xe Graphics/B&O/Win 11/Alexa Built-in/Backlit KB/FPR/MSO 2021/Natural Silver,14-dv2015TU ",https://www.amazon.in//HP-Pavilion-Micro-Edge-Graphics-14-dv2015TU/dp/B0B1MBFJJ2/ref=sr_1_35?keywords=HP+Laptop&qid=1676017405&sr=8-35,"₹87,990",4.3 out of 5 stars,47,https://m.media-amazon.com/images/I/81h346HzqML._AC_UY218_.jpg
"HP 15s 11th Gen Intel Core i5 15.6-inch(39.6 cm) FHD Anti-Glare Display Laptop (8GB RAM/512GB SSD Micro-Edge/Iris Xe Graphics/Backlit Keyboard/Win 11 Home/Alexa/Dual Speakers/MSO 2019,15s- Fq4021tu ",https://www.amazon.in//Anti-Glare-Micro-Edge-Graphics-Keyboard-Speakers/dp/B09R1L8J28/ref=sr_1_36?keywords=HP+Laptop&qid=1676017405&sr=8-36,"₹56,000",4.1 out of 5 stars,891,https://m.media-amazon.com/images/I/81jdJXOC3tL._AC_UY218_.jpg
"HP 255 G8 AMD Athlon 3050 - (4 GB/256 GB SSD/DOS) 6X4B2PA#ACJ Notebook (15.6 inch, Black) ",https://www.amazon.in//HP-255-AMD-Athlon-3050/dp/B0B5X2G37Q/ref=sr_1_37?keywords=HP+Laptop&qid=1676017405&sr=8-37,"₹21,632",3.2 out of 5 stars,17,https://m.media-amazon.com/images/I/61SOAa0jK9L._AC_UY218_.jpg
"HP Pavilion Gaming 5th Gen AMD Ryzen 5 Processor 15.6 inches FHD Gaming Laptop (8GB/512GB SSD/144 Hz/Windows 10 Home/NVIDIA GTX 1650 4GB/Shadow Black), 15-ec2004AX, 1.98Kg ",https://www.amazon.in//HP-Pavilion-Processor-15-6-inch-15-ec2004AX/dp/B091FK29DS/ref=sr_1_38?keywords=HP+Laptop&qid=1676017405&sr=8-38,"₹56,150",4.1 out of 5 stars,63,https://m.media-amazon.com/images/I/71VlaIUD10L._AC_UY218_.jpg
"HP 245 G8 Laptop PC with AMD Ryzen 3 3250U/8 GB DDR4 RAM/512 GB PCIe® NVMe™ SSD /AMD Radeon™ Graphics/35.6 cm (14"" inch)/Windows 11/Matte Black/1.5 KG/1 Year Onsite Warranty ",https://www.amazon.in//HP-245-RadeonTM-Graphics-Warranty/dp/B0BRQHYZ2T/ref=sr_1_39?keywords=HP+Laptop&qid=1676017405&sr=8-39,"₹27,930",4.0 out of 5 stars,2,https://m.media-amazon.com/images/I/51hjXsx9vSL._AC_UY218_.jpg
"HP 15s, Intel Core i3-1115G4, 15.6 inch(39.6cm) FHD Laptop(8GB RAM/1TB HDD+256GB SSD/Intel UHD Graphics/Win 11/MSO/Dual Speakers/Alexa) 15s-du3612TU ",https://www.amazon.in//HP-i3-1115G4-Graphics-Speakers-15s-du3612TU/dp/B0BQN1QD8K/ref=sr_1_40?keywords=HP+Laptop&qid=1676017405&sr=8-40,"₹41,990",,,https://m.media-amazon.com/images/I/81WJR8YFnnL._AC_UY218_.jpg
"HP Pavilion x360,12th Gen Intel Core i5-1235U 8GB RAM/512GB SSD 14-inch(35.6 cm) Multitouch-enabled Micro-Edge FHD Laptop /Intel Iris Xe Graphics/Backlit KB/B&O/Win 11/MSO 2021/Space Blue, 14-ek0086TU ",https://www.amazon.in//HP-Pavilion-Multitouch-enabled-Micro-Edge-14-ek0086TU/dp/B0B58SWPNS/ref=sr_1_41?keywords=HP+Laptop&qid=1676017405&sr=8-41,"₹69,950",3.9 out of 5 stars,61,https://m.media-amazon.com/images/I/81cAC1ADobL._AC_UY218_.jpg
"HP Pavilion laptop 15,12th Gen Intel Core i5-1240P 15.6 inch(49.6cm) FHD IPS Laptop(16GB RAM upto 16GB SDRAM/512GB SSD/Intel Iris Xe Graphics/Win 11/MSO 2021/Backlit/Flicker Free/B&O/Alexa)15-eg2091TU ",https://www.amazon.in//HP-Pavilion-i5-1240P-Graphics-15-eg2091TU/dp/B0BSL766TD/ref=sr_1_42?keywords=HP+Laptop&qid=1676017405&sr=8-42,"₹70,990",,,https://m.media-amazon.com/images/I/81WEgaozDWL._AC_UY218_.jpg
"HP 15s- Ryzen 5-5500U 8GB RAM/512GB SSD 15.6 inch(39cm) Micro-Edge Anti-Glare FHD Laptop (Natural Silver/AMD Radeon Graphics/Alexa/Dual Speakers/Fast Charge/Windows 11/MS Office), 15s-eq2144au ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTozNjY3NzYyMjk2NjcxMjEzOjE2NzYwMTc0MDU6c3BfbXRmOjIwMDgzNDE0OTA3MTk4OjowOjo&url=%2FHP-Micro-Edge-Anti-Glare-Graphics-15s-eq2144au%2Fdp%2FB09RZRF1PJ%2Fref%3Dsr_1_43_sspa%3Fkeywords%3DHP%2BLaptop%26qid%3D1676017405%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"₹44,999",4.1 out of 5 stars,543,https://m.media-amazon.com/images/I/716eAYN1pYL._AC_UY218_.jpg
